date	hr
2012-12-16T10:29:38Z	83
2012-12-16T10:29:41Z	91
2012-12-16T10:29:43Z	96
2012-12-16T10:29:44Z	103
2012-12-16T10:29:46Z	109
2012-12-16T10:29:48Z	114
2012-12-16T10:29:51Z	119
2012-12-16T10:29:55Z	124
2012-12-16T10:29:59Z	129
2012-12-16T10:30:03Z	134
2012-12-16T10:30:06Z	136
2012-12-16T10:30:11Z	139
2012-12-16T10:30:15Z	140
2012-12-16T10:30:23Z	142
2012-12-16T10:30:29Z	143
2012-12-16T10:30:34Z	145
2012-12-16T10:30:40Z	148
2012-12-16T10:30:46Z	151
2012-12-16T10:30:53Z	152
2012-12-16T10:30:59Z	154
2012-12-16T10:31:04Z	153
2012-12-16T10:31:10Z	152
2012-12-16T10:31:17Z	155
2012-12-16T10:31:23Z	154
2012-12-16T10:31:29Z	153
2012-12-16T10:31:35Z	155
2012-12-16T10:31:40Z	156
2012-12-16T10:31:45Z	156
2012-12-16T10:31:51Z	158
2012-12-16T10:31:56Z	157
2012-12-16T10:32:03Z	160
2012-12-16T10:32:09Z	162
2012-12-16T10:32:13Z	161
2012-12-16T10:32:19Z	162
2012-12-16T10:32:24Z	163
2012-12-16T10:32:29Z	164
2012-12-16T10:32:35Z	165
2012-12-16T10:32:41Z	166
2012-12-16T10:32:48Z	166
2012-12-16T10:32:55Z	166
2012-12-16T10:33:02Z	166
2012-12-16T10:33:09Z	166
2012-12-16T10:33:15Z	165
2012-12-16T10:33:21Z	165
2012-12-16T10:33:29Z	166
2012-12-16T10:33:36Z	166
2012-12-16T10:33:42Z	167
2012-12-16T10:33:47Z	167
2012-12-16T10:33:54Z	166
2012-12-16T10:34:01Z	166
2012-12-16T10:34:07Z	166
2012-12-16T10:34:13Z	167
2012-12-16T10:34:21Z	166
2012-12-16T10:34:27Z	166
2012-12-16T10:34:35Z	167
2012-12-16T10:34:41Z	168
2012-12-16T10:34:47Z	167
2012-12-16T10:34:54Z	167
2012-12-16T10:35:00Z	167
2012-12-16T10:35:07Z	167
2012-12-16T10:35:11Z	167
2012-12-16T10:35:16Z	167
2012-12-16T10:35:23Z	168
2012-12-16T10:35:28Z	168
2012-12-16T10:35:29Z	168
2012-12-16T10:35:29Z	168
2012-12-16T10:35:36Z	167
2012-12-16T10:35:43Z	168
2012-12-16T10:35:49Z	169
2012-12-16T10:35:56Z	169
2012-12-16T10:36:02Z	168
2012-12-16T10:36:11Z	167
2012-12-16T10:36:17Z	166
2012-12-16T10:36:24Z	167
2012-12-16T10:36:31Z	166
2012-12-16T10:36:37Z	167
2012-12-16T10:36:42Z	166
2012-12-16T10:36:49Z	166
2012-12-16T10:36:56Z	166
2012-12-16T10:37:01Z	166
2012-12-16T10:37:07Z	167
2012-12-16T10:37:12Z	167
2012-12-16T10:37:17Z	167
2012-12-16T10:37:19Z	167
2012-12-16T10:37:23Z	166
2012-12-16T10:37:29Z	167
2012-12-16T10:37:32Z	167
2012-12-16T10:37:37Z	167
2012-12-16T10:37:40Z	166
2012-12-16T10:37:45Z	166
2012-12-16T10:37:46Z	166
2012-12-16T10:37:51Z	165
2012-12-16T10:37:56Z	165
2012-12-16T10:38:01Z	164
2012-12-16T10:38:06Z	164
2012-12-16T10:38:11Z	165
2012-12-16T10:38:16Z	166
2012-12-16T10:38:22Z	166
2012-12-16T10:38:27Z	166
2012-12-16T10:38:32Z	167
2012-12-16T10:38:38Z	166
2012-12-16T10:38:44Z	166
2012-12-16T10:38:51Z	166
2012-12-16T10:38:57Z	166
2012-12-16T10:38:59Z	167
2012-12-16T10:39:04Z	168
2012-12-16T10:39:06Z	168
2012-12-16T10:39:13Z	168
2012-12-16T10:39:19Z	169
2012-12-16T10:39:26Z	168
2012-12-16T10:39:33Z	168
2012-12-16T10:39:41Z	169
2012-12-16T10:39:47Z	168
